GeneSymbol	tax_id	GeneID	LocusTag	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Nomenclature_status	Other_designations	Modification_date	Feature_type
GP9	9606	2815	-	CD42a|GPIX	MIM:173515|HGNC:HGNC:4444|Ensembl:ENSG00000169704|AllianceGenome:HGNC:4444	3	3q21.3	glycoprotein IX platelet	protein-coding	GP9	glycoprotein IX platelet	O	platelet glycoprotein IX|glycoprotein 9	20250503	-
GPR56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRINA	9606	2907	-	HNRGW|LFG1|NMDARA1|TMBIM3	MIM:138251|HGNC:HGNC:4589|Ensembl:ENSG00000178719|AllianceGenome:HGNC:4589	8	8q24.3	glutamate ionotropic receptor NMDA type subunit associated protein 1	protein-coding	GRINA	glutamate ionotropic receptor NMDA type subunit associated protein 1	O	protein lifeguard 1|NMDA receptor glutamate-binding subunit|glutamate [NMDA] receptor-associated protein 1|glutamate receptor, NMDA subtype, glutamate-binding subunit|glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)|lifeguard 1|putative MAPK-activating protein PM02|transmembrane BAX inhibitor motif containing 3|transmembrane BAX inhibitor motif-containing protein 3	20250503	-
GZMH	9606	2999	-	CCP-X|CGL-2|CSP-C|CTLA1|CTSGL2	MIM:116831|HGNC:HGNC:4710|Ensembl:ENSG00000100450|AllianceGenome:HGNC:4710	14	14q12	granzyme H	protein-coding	GZMH	granzyme H	O	granzyme H|cathepsin G-like 2, protein h-CCPX|cytotoxic T-lymphocyte proteinase|cytotoxic T-lymphocyte-associated serine esterase 1|cytotoxin serine protease-C	20250503	-
HDC	9606	3067	-	-	MIM:142704|HGNC:HGNC:4855|Ensembl:ENSG00000140287|AllianceGenome:HGNC:4855	15	15q21.2	histidine decarboxylase	protein-coding	HDC	histidine decarboxylase	O	histidine decarboxylase	20250503	-
HINT1	9606	3094	-	HINT|NMAN|PKCI-1|PRKCNH1	MIM:601314|HGNC:HGNC:4912|Ensembl:ENSG00000169567|AllianceGenome:HGNC:4912	5	5q23.3	histidine triad nucleotide binding protein 1	protein-coding	HINT1	histidine triad nucleotide binding protein 1	O	adenosine 5'-monophosphoramidase HINT1|adenosine 5'-monophosphoramidase|desumoylating isopeptidase HINT1|epididymis secretory sperm binding protein|protein kinase C inhibitor 1|protein kinase C-interacting protein 1	20250511	-
IFNGR1	9606	3459	-	CD119|IFNGR|IMD27A|IMD27B	MIM:107470|HGNC:HGNC:5439|Ensembl:ENSG00000027697|AllianceGenome:HGNC:5439	6	6q23.3	interferon gamma receptor 1	protein-coding	IFNGR1	interferon gamma receptor 1	O	interferon gamma receptor 1|AVP, type 2|CD119 antigen|CDw119|IFN-gamma receptor 1|IFN-gamma-R-alpha|IFN-gamma-R1|antiviral protein, type 2|immune interferon receptor 1|interferon-gamma receptor alpha chain	20250503	-
ITGA2B	9606	3674	-	BDPLT16|BDPLT2|CD41|CD41B|GP2B|GPIIb|GT|GT1|GTA|HPA3|PPP1R93	MIM:607759|HGNC:HGNC:6138|Ensembl:ENSG00000005961|AllianceGenome:HGNC:6138	17	17q21.31	integrin subunit alpha 2b	protein-coding	ITGA2B	integrin subunit alpha 2b	O	integrin alpha-IIb|GPalpha IIb|alphaIIb protein|integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)|platelet fibrinogen receptor, alpha subunit|platelet glycoprotein IIb of IIb/IIIa complex|platelet membrane glycoprotein IIb|platelet-specific antigen BAK|protein phosphatase 1, regulatory subunit 93	20250503	-
ITGAL	9606	3683	-	CD11A|LFA-1|LFA1A	MIM:153370|HGNC:HGNC:6148|Ensembl:ENSG00000005844|AllianceGenome:HGNC:6148	16	16p11.2	integrin subunit alpha L	protein-coding	ITGAL	integrin subunit alpha L	O	integrin alpha-L|CD11 antigen-like family member A|LFA-1 alpha|LFA-1A|antigen CD11A (p180), lymphocyte function-associated antigen 1, alpha polypeptide|integrin gene promoter|integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)|leukocyte adhesion glycoprotein LFA-1 alpha chain|leukocyte function-associated molecule 1 alpha chain|lymphocyte function-associated antigen 1, alpha polypeptide	20250503	-
JARID1D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KIAA1600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KIR3DL2	9606	3812	-	3DL2|CD158K|KIR-3DL2|NKAT-4|NKAT4|NKAT4B|p140	MIM:604947|HGNC:HGNC:6339|Ensembl:ENSG00000240403|AllianceGenome:HGNC:6339	19	19q13.42	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2	protein-coding	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2	O	killer cell immunoglobulin-like receptor 3DL2|CD158 antigen-like family member K|KIR antigen 3DL2|MHC class I NK cell receptor|killer Ig receptor|killer cell immunoglobulin-like receptor 2DL2|killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2|killer-cell immunoglobulin-like receptor|natural killer-associated transcript 4|p70 NK receptor CL-5|p70 killer cell inhibitory receptor|p70 natural killer cell receptor clone CL-5	20250503	-
LBA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEPROTL1	9606	23484	-	HSPC112|Vps55|my047	MIM:607338|HGNC:HGNC:6555|Ensembl:ENSG00000104660|AllianceGenome:HGNC:6555	8	8p12	leptin receptor overlapping transcript like 1	protein-coding	LEPROTL1	leptin receptor overlapping transcript like 1	O	leptin receptor overlapping transcript-like 1|endospanin-2	20250503	-
LMBRD1	9606	55788	-	C6orf209|LMBD1|MAHCF|NESI	MIM:612625|HGNC:HGNC:23038|Ensembl:ENSG00000168216|AllianceGenome:HGNC:23038	6	6q13	LMBR1 domain containing 1	protein-coding	LMBRD1	LMBR1 domain containing 1	O	lysosomal cobalamin transport escort protein LMBD1|HDAg-L-interacting protein NESI|hepatitis delta antigen-L interacting protein|liver regeneration p-53 related protein|nuclear export signal-interacting protein|probable lysosomal cobalamin transporter	20250503	-
LOC158345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC387867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC388532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC388654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC389787	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC391656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC402057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC402251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC402694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC440313	9606	440313	-	-	-	15	15q26.3	protein enabled homolog	ncRNA	-	-	-	-	20250304	-
LOC440359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC440737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC441246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC641848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC642250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC643031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC643284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC646766	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC647340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC647361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC647673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC648000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC648622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC649049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC650276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC650518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC651202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC651436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC652140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC652624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC652968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC653226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC653600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC653773	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC654194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC728358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC728973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC729466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC730432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC731640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRN3	9606	54674	-	FIGLER5|NLRR-3|NLRR3	MIM:619748|HGNC:HGNC:17200|Ensembl:ENSG00000173114|AllianceGenome:HGNC:17200	7	7q31.1	leucine rich repeat neuronal 3	protein-coding	LRRN3	leucine rich repeat neuronal 3	O	leucine-rich repeat neuronal protein 3|fibronectin type III, immunoglobulin and leucine rich repeat domains 5|leucine-rich repeat protein, neuronal 3|neuronal leucine-rich repeat protein 3	20250503	-
LSM3	9606	27258	-	SMX4|USS2|YLR438C	MIM:607283|HGNC:HGNC:17874|Ensembl:ENSG00000170860|AllianceGenome:HGNC:17874	3	3p25.1	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated	protein-coding	LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated	O	U6 snRNA-associated Sm-like protein LSm3|LSM3 U6 small nuclear RNA and mRNA degradation associated|LSM3 homolog, U6 small nuclear RNA associated	20250503	-
LY6E	9606	4061	-	RIG-E|RIGE|SCA-2|SCA2|TSA-1	MIM:601384|HGNC:HGNC:6727|Ensembl:ENSG00000160932|AllianceGenome:HGNC:6727	8	8q24.3	lymphocyte antigen 6 family member E	protein-coding	LY6E	lymphocyte antigen 6 family member E	O	lymphocyte antigen 6E|ly-6E|lymphocyte antigen 6 complex, locus E|retinoic acid induced gene E|retinoic acid-induced gene E protein|stem cell antigen 2|thymic shared antigen 1	20250503	-
LY96	9606	23643	-	ESOP-1|MD-2|MD2|ly-96	MIM:605243|HGNC:HGNC:17156|Ensembl:ENSG00000154589|AllianceGenome:HGNC:17156	8	8q21.11	lymphocyte antigen 96	protein-coding	LY96	lymphocyte antigen 96	O	lymphocyte antigen 96|myeloid differentiation protein-2|protein MD-2	20250503	-
LYPD2	9606	137797	-	LYPDC2|UNQ430	HGNC:HGNC:25215|Ensembl:ENSG00000197353|AllianceGenome:HGNC:25215	8	8q24.3	LY6/PLAUR domain containing 2	protein-coding	LYPD2	LY6/PLAUR domain containing 2	O	ly6/PLAUR domain-containing protein 2|RGTR430	20250503	-
MAP1S	9606	55201	-	BPY2IP1|C19orf5|MAP8|VCY2IP-1|VCY2IP1	MIM:607573|HGNC:HGNC:15715|Ensembl:ENSG00000130479|AllianceGenome:HGNC:15715	19	19p13.11	microtubule associated protein 1S	protein-coding	MAP1S	microtubule associated protein 1S	O	microtubule-associated protein 1S|BPY2-interacting protein 1|MAP-1S|VCY2-interacting protein 1|microtubule-associated protein 8|variable charge Y chromosome 2-interacting protein 1	20250511	-
MAP3K1	9606	4214	-	MAPKKK1|MEKK|MEKK 1|MEKK1|SRXY6	MIM:600982|HGNC:HGNC:6848|Ensembl:ENSG00000095015|AllianceGenome:HGNC:6848	5	5q11.2	mitogen-activated protein kinase kinase kinase 1	protein-coding	MAP3K1	mitogen-activated protein kinase kinase kinase 1	O	mitogen-activated protein kinase kinase kinase 1|MAP/ERK kinase kinase 1|MAPK/ERK kinase kinase 1|MEK kinase 1|mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase	20250503	-
MARCH7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED25	9606	81857	-	ACID1|ARC92|BVSYS|CMT2B2|P78|PTOV2|TCBAP0758	MIM:610197|HGNC:HGNC:28845|Ensembl:ENSG00000104973|AllianceGenome:HGNC:28845	19	19q13.33	mediator complex subunit 25	protein-coding	MED25	mediator complex subunit 25	O	mediator of RNA polymerase II transcription subunit 25|ARC/mediator transcriptional coactivator subunit|activator interaction domain-containing protein 1|activator-recruited cofactor 92 kDa component|mediator of RNA polymerase II transcription, subunit 25 homolog|prostate-derived protein 78 kDa	20250503	-
MLSTD2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUFA4	9606	4697	-	CI-9k|CI-MLRQ|COXFA4|MC4DN21|MISTR1|MLRQ|MRCAF1	MIM:603833|HGNC:HGNC:7687|Ensembl:ENSG00000189043|AllianceGenome:HGNC:7687	7	7p21.3	NDUFA4 mitochondrial complex associated	protein-coding	NDUFA4	NDUFA4 mitochondrial complex associated	O	cytochrome c oxidase subunit NDUFA4|Complex I 9kDa subunit|NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa|NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4|NADH-ubiquinone oxidoreductase MLRQ subunit|complex I-MLRQ|cytochrome c oxidase subunit FA4|mitochondrial respiratory chain associated factor 1|mitochondrial stress response 1	20250503	-
NDUFB2	9606	4708	-	AGGG|CI-AGGG	MIM:603838|HGNC:HGNC:7697|Ensembl:ENSG00000090266|AllianceGenome:HGNC:7697	7	7q34	NADH:ubiquinone oxidoreductase subunit B2	protein-coding	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2	O	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial|NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa|NADH-ubiquinone oxidoreductase AGGG subunit|complex I AGGG subunit|complex I-AGGG	20250503	-
NDUFB3	9606	4709	-	B12|CI-B12|MC1DN25	MIM:603839|HGNC:HGNC:7698|Ensembl:ENSG00000119013|AllianceGenome:HGNC:7698	2	2q33.1	NADH:ubiquinone oxidoreductase subunit B3	protein-coding	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3	O	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3|NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa|NADH-ubiquinone oxidoreductase B12 subunit|complex I-B12	20250503	-
NDUFS4	9606	4724	-	AQDQ|CI-18|CI-18 kDa|CI-AQDQ|MC1DN1	MIM:602694|HGNC:HGNC:7711|Ensembl:ENSG00000164258|AllianceGenome:HGNC:7711	5	5q11.2	NADH:ubiquinone oxidoreductase subunit S4	protein-coding	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4	O	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial|NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)|NADH-ubiquinone oxidoreductase 18 kDa subunit|complex I 18kDa subunit|complex I-AQDQ|mitochondrial respiratory chain complex I (18-KD subunit)	20250503	-
NKG7	9606	4818	-	GIG1|GMP-17|p15-TIA-1	MIM:606008|HGNC:HGNC:7830|Ensembl:ENSG00000105374|AllianceGenome:HGNC:7830	19	19q13.41	natural killer cell granule protein 7	protein-coding	NKG7	natural killer cell granule protein 7	O	protein NKG7|G-CSF-induced gene 1 protein|GIG-1 protein|granule membrane protein 17|granule membrane protein of 17 kDa|natural killer cell group 7 sequence|natural killer cell protein 7	20250503	-
NRGN	9606	4900	-	RC3|hng	MIM:602350|HGNC:HGNC:8000|Ensembl:ENSG00000154146|AllianceGenome:HGNC:8000	11	11q24.2	neurogranin	protein-coding	NRGN	neurogranin	O	neurogranin|calmodulin-binding protein|neurogranin (protein kinase C substrate, RC3)|protein kinase C substrate	20250503	-
ORM1	9606	5004	-	A1AG1|AGP-A|AGP1|HEL-S-153w|ORM	MIM:138600|HGNC:HGNC:8498|Ensembl:ENSG00000229314|AllianceGenome:HGNC:8498	9	9q32	orosomucoid 1	protein-coding	ORM1	orosomucoid 1	O	alpha-1-acid glycoprotein 1|AGP 1|OMD 1|epididymis secretory sperm binding protein Li 153w	20250503	-
OSBP2	9606	23762	-	HLM|ORP-4|ORP4|OSBPL1|OSBPL4	MIM:606729|HGNC:HGNC:8504|Ensembl:ENSG00000184792|AllianceGenome:HGNC:8504	22	22q12.2	oxysterol binding protein 2	protein-coding	OSBP2	oxysterol binding protein 2	O	oxysterol-binding protein 2|OSBP-related protein 4|oxysterol binding protein-like 1|oxysterol-binding protein-related protein 4	20250503	-
OXR1	9606	55074	-	CHEGDD|Nbla00307|TLDC3	MIM:605609|HGNC:HGNC:15822|Ensembl:ENSG00000164830|AllianceGenome:HGNC:15822	8	8q23.1	oxidation resistance 1	protein-coding	OXR1	oxidation resistance 1	O	oxidation resistance protein 1|TBC/LysM-associated domain containing 3|putative protein product of Nbla00307	20250503	-
P2RY5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAPOLA	9606	10914	-	PAP|PAP-alpha	MIM:605553|HGNC:HGNC:14981|Ensembl:ENSG00000090060|AllianceGenome:HGNC:14981	14	14q32.2	poly(A) polymerase alpha	protein-coding	PAPOLA	poly(A) polymerase alpha	O	poly(A) polymerase alpha|polynucleotide adenylyltransferase alpha	20250503	-
PCMT1	9606	5110	-	PIMT	MIM:176851|HGNC:HGNC:8728|Ensembl:ENSG00000120265|AllianceGenome:HGNC:8728	6	6q25.1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	protein-coding	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	O	protein-L-isoaspartate(D-aspartate) O-methyltransferase|L-isoaspartyl protein carboxyl methyltransferase|epididymis secretory sperm binding protein|protein L-isoaspartyl/D-aspartyl methyltransferase|protein-beta-aspartate methyltransferase	20250503	-
PCNP	9606	57092	-	-	MIM:615210|HGNC:HGNC:30023|Ensembl:ENSG00000081154|AllianceGenome:HGNC:30023	3	3q12.3	PEST proteolytic signal containing nuclear protein	protein-coding	PCNP	PEST proteolytic signal containing nuclear protein	O	PEST proteolytic signal-containing nuclear protein|PEST-containing nuclear protein	20250503	-
PFDN5	9606	5204	-	MM-1|MM1|PFD5	MIM:604899|HGNC:HGNC:8869|Ensembl:ENSG00000123349|AllianceGenome:HGNC:8869	12	12q13.13	prefoldin subunit 5	protein-coding	PFDN5	prefoldin subunit 5	O	prefoldin subunit 5|c-myc binding protein|myc modulator-1	20250511	-
PIGY	9606	84992	-	HPMRS6|PIG-Y	MIM:610662|HGNC:HGNC:28213|Ensembl:ENSG00000255072|AllianceGenome:HGNC:28213	4	4q22.1	phosphatidylinositol glycan anchor biosynthesis class Y	protein-coding	PIGY	phosphatidylinositol glycan anchor biosynthesis class Y	O	phosphatidylinositol N-acetylglucosaminyltransferase subunit Y|phosphatidylinositol-glycan biosynthesis class Y protein	20250503	-
PIP5K2A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PJA2	9606	9867	-	Neurodap1|RNF131	MIM:619341|HGNC:HGNC:17481|Ensembl:ENSG00000198961|AllianceGenome:HGNC:17481	5	5q21.3	praja ring finger ubiquitin ligase 2	protein-coding	PJA2	praja ring finger ubiquitin ligase 2	O	E3 ubiquitin-protein ligase Praja-2|RING-type E3 ubiquitin transferase Praja-2|praja 2, RING-H2 motif containing|praja ring finger 2, E3 ubiquitin protein ligase|praja2|ring finger protein 131	20250514	-
POLR2A	9606	5430	-	NEDHIB|POLR2|POLRA|RPB1|RPBh1|RPO2|RPOL2|RpIILS|hRPB220|hsRPB1	MIM:180660|HGNC:HGNC:9187|Ensembl:ENSG00000181222|AllianceGenome:HGNC:9187	17	17p13.1	RNA polymerase II subunit A	protein-coding	POLR2A	RNA polymerase II subunit A	O	DNA-directed RNA polymerase II subunit RPB1|3'-5' exoribonuclease|DNA-directed RNA polymerase II largest subunit, RNA polymerase II 220 kd subunit|DNA-directed RNA polymerase II subunit A|DNA-directed RNA polymerase III largest subunit|RNA polymerase II subunit B1|RNA-directed RNA polymerase II subunit RPB1|polymerase (RNA) II (DNA directed) polypeptide A, 220kDa|polymerase (RNA) II subunit A	20250511	-
PPP1CC	9606	5501	-	PP-1G|PP1C|PPP1G	MIM:176914|HGNC:HGNC:9283|Ensembl:ENSG00000186298|AllianceGenome:HGNC:9283	12	12q24.11	protein phosphatase 1 catalytic subunit gamma	protein-coding	PPP1CC	protein phosphatase 1 catalytic subunit gamma	O	serine/threonine-protein phosphatase PP1-gamma catalytic subunit|protein phosphatase 1, catalytic subunit, gamma isozyme|protein phosphatase 1C catalytic subunit|serine/threonine phosphatase 1 gamma	20250511	-
PPP1R2	9606	5504	-	IPP-2|IPP2|PPP1R2A	MIM:601792|HGNC:HGNC:9288|Ensembl:ENSG00000184203|AllianceGenome:HGNC:9288	3	3q29	protein phosphatase 1 regulatory inhibitor subunit 2	protein-coding	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2	O	protein phosphatase inhibitor 2|phosphoprotein phosphatase	20250503	-
PPP2R1A	9606	5518	-	HJS2|MRD36|PP2A-Aalpha|PP2AA|PP2AAALPHA|PR65A	MIM:605983|HGNC:HGNC:9302|Ensembl:ENSG00000105568|AllianceGenome:HGNC:9302	19	19q13.41	protein phosphatase 2 scaffold subunit Aalpha	protein-coding	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	O	serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform|medium tumor antigen-associated 61 KDA protein|protein phosphatase 2, regulatory subunit A, alpha|testicular secretory protein Li 1	20250503	-
PRF1	9606	5551	-	HPLH2|P1|PFP	MIM:170280|HGNC:HGNC:9360|Ensembl:ENSG00000180644|AllianceGenome:HGNC:9360	10	10q22.1	perforin 1	protein-coding	PRF1	perforin 1	O	perforin-1|cytolysin|lymphocyte pore-forming protein|perforin 1 (pore forming protein)	20250503	-
PRKRIR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PROK2	9606	60675	-	BV8|HH4|KAL4|MIT1|PK2	MIM:607002|HGNC:HGNC:18455|Ensembl:ENSG00000163421|AllianceGenome:HGNC:18455	3	3p13	prokineticin 2	protein-coding	PROK2	prokineticin 2	O	prokineticin-2|protein Bv8 homolog	20250503	-
PSMA4	9606	5685	-	HC9|HsT17706|PSC9	MIM:176846|HGNC:HGNC:9533|Ensembl:ENSG00000041357|AllianceGenome:HGNC:9533	15	15q25.1	proteasome 20S subunit alpha 4	protein-coding	PSMA4	proteasome 20S subunit alpha 4	O	proteasome subunit alpha type-4|alpha-3|macropain subunit C9|multicatalytic endopeptidase complex subunit C9|proteasome (prosome, macropain) subunit, alpha type, 4|proteasome component C9|proteasome subunit HC9|proteasome subunit L|proteasome subunit alpha 4|proteasome subunit alpha-3|proteasome subunit alpha3	20250503	-
PSMA6	9606	5687	-	IOTA|PROS27|p27K	MIM:602855|HGNC:HGNC:9535|Ensembl:ENSG00000100902|AllianceGenome:HGNC:9535	14	14q13.2	proteasome 20S subunit alpha 6	protein-coding	PSMA6	proteasome 20S subunit alpha 6	O	proteasome subunit alpha type-6|27 kDa prosomal protein|PROS-27|alpha-1|macropain iota chain|macropain subunit iota|multicatalytic endopeptidase complex iota chain|prosomal P27K protein|proteasome (prosome, macropain) subunit, alpha type, 6|proteasome iota chain|proteasome subunit alpha 6|proteasome subunit alpha-1|proteasome subunit alpha1|proteasome subunit iota|testicular secretory protein Li 44	20250503	-
PTEN	9606	5728	-	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|PTENbeta|PTENgama|TEP1	MIM:601728|HGNC:HGNC:9588|Ensembl:ENSG00000171862|AllianceGenome:HGNC:9588	10	10q23.31	phosphatase and tensin homolog	protein-coding	PTEN	phosphatase and tensin homolog	O	phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN|MMAC1 phosphatase and tensin homolog deleted on chromosome 10|PTEN variant PTEN-K267Rfs*9|PTEN variant PTEN-L247*|PTEN variant PTEN-R234Afs*11|PTENepsilon|inositol polyphosphate 3-phosphatase|mitochondrial PTENalpha|mitochondrial phosphatase and tensin protein alpha|mutated in multiple advanced cancers 1|phosphatase and tensin-like protein|phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN|protein tyrosine phosphatase	20250512	-
RAB10	9606	10890	-	-	MIM:612672|HGNC:HGNC:9759|Ensembl:ENSG00000084733|AllianceGenome:HGNC:9759	2	2p23.3	RAB10, member RAS oncogene family	protein-coding	RAB10	RAB10, member RAS oncogene family	O	ras-related protein Rab-10|GTP-binding protein RAB10|ras-related GTP-binding protein	20250511	-
RAB8B	9606	51762	-	-	MIM:613532|HGNC:HGNC:30273|Ensembl:ENSG00000166128|AllianceGenome:HGNC:30273	15	15q22.2	RAB8B, member RAS oncogene family	protein-coding	RAB8B	RAB8B, member RAS oncogene family	O	ras-related protein Rab-8B|RAB-8b protein	20250510	-
RAP2A	9606	5911	-	K-REV|KREV|RAP2|RbBP-30	MIM:179540|HGNC:HGNC:9861|Ensembl:ENSG00000125249|AllianceGenome:HGNC:9861	13	13q32.1	RAP2A, member of RAS oncogene family	protein-coding	RAP2A	RAP2A, member of RAS oncogene family	O	ras-related protein Rap-2a|RAP2, member of RAS oncogene family (K-rev)	20250503	-
RB1CC1	9606	9821	-	ATG17|CC1|FIP200|PPP1R131	MIM:606837|HGNC:HGNC:15574|Ensembl:ENSG00000023287|AllianceGenome:HGNC:15574	8	8q11.23	RB1 inducible coiled-coil 1	protein-coding	RB1CC1	RB1 inducible coiled-coil 1	O	RB1-inducible coiled-coil protein 1|200 kDa FAK family kinase-interacting protein|FAK family kinase-interacting protein of 200 kDa|phosphatase 1, regulatory subunit 131	20250503	-
RBM12B	9606	389677	-	MGC:33837	HGNC:HGNC:32310|Ensembl:ENSG00000183808|AllianceGenome:HGNC:32310	8	8q22.1	RNA binding motif protein 12B	protein-coding	RBM12B	RNA binding motif protein 12B	O	RNA-binding protein 12B	20250511	-
